"id","created_at","name","has_test","alternate_url"
"54500248","2022-03-31T21:33:54+0300","Senior Data Engineer (GKT Team)",false,"https://hh.ru/vacancy/54500248"
"53296844","2022-04-01T03:28:31+0300","Middle+/Senior Java разработчик (Data Lake) в команду Data Platform",false,"https://hh.ru/vacancy/53296844"
"54404367","2022-04-01T07:35:30+0300","Data Scientist middle/senior",false,"https://hh.ru/vacancy/54404367"
"54349726","2022-04-01T10:33:16+0300","Data Engineer",false,"https://hh.ru/vacancy/54349726"
"54276911","2022-04-01T10:40:19+0300","Аналитик Данных / BI Analyst",false,"https://hh.ru/vacancy/54276911"
"53807746","2022-04-01T11:31:51+0300","Data Engineer (Opportunity 2)",false,"https://hh.ru/vacancy/53807746"
"54510297","2022-04-01T11:33:53+0300","Python Developer",false,"https://hh.ru/vacancy/54510297"
"52084296","2022-04-01T12:17:39+0300","Senior python developer / Data engineer",false,"https://hh.ru/vacancy/52084296"
"51895906","2022-04-01T12:22:18+0300","Аналитик/Data Scientist",false,"https://hh.ru/vacancy/51895906"
"49423067","2022-04-01T12:37:57+0300","Data Scientist",false,"https://hh.ru/vacancy/49423067"
"50442368","2022-04-01T12:40:15+0300","Data Science Team Lead",false,"https://hh.ru/vacancy/50442368"
"53935564","2022-04-01T14:09:15+0300","Data Scientist в Data Accelerator (ML)",false,"https://hh.ru/vacancy/53935564"
"52281730","2022-04-01T14:55:43+0300","Аналитик стратегий сбора (junior/middle)",false,"https://hh.ru/vacancy/52281730"
"52466493","2022-04-01T15:30:27+0300","Data Scientist",false,"https://hh.ru/vacancy/52466493"
"53278098","2022-04-01T15:44:50+0300","Аналитик данных",false,"https://hh.ru/vacancy/53278098"
"49504734","2022-04-01T15:55:27+0300","Machine learning developer/Data Science",false,"https://hh.ru/vacancy/49504734"
"48411370","2022-04-01T16:39:00+0300","Программист Python (прикладная математика)",false,"https://hh.ru/vacancy/48411370"
"54522129","2022-04-01T16:45:47+0300","Expert Python Developer",false,"https://hh.ru/vacancy/54522129"
"50691974","2022-04-01T17:50:32+0300","Head of Data Science",false,"https://hh.ru/vacancy/50691974"
"54468800","2022-04-01T17:57:37+0300","Data Engineer (команда Big Data Infrastructure)",false,"https://hh.ru/vacancy/54468800"
"54468801","2022-04-01T17:57:37+0300","Data Engineer (команда Big Data Infrastructure)",false,"https://hh.ru/vacancy/54468801"
"54488307","2022-04-01T18:25:23+0300","Data Quality Engineer",false,"https://hh.ru/vacancy/54488307"
"54488308","2022-04-01T18:25:23+0300","Data Quality Engineer",false,"https://hh.ru/vacancy/54488308"
"51106151","2022-04-01T18:32:20+0300","NLP Data Scientist (in Armenia)",false,"https://hh.ru/vacancy/51106151"
"52691883","2022-04-01T18:40:47+0300","Senior Data Analyst",false,"https://hh.ru/vacancy/52691883"
"50072394","2022-04-01T19:18:49+0300","Research Engineer / Data Scientist",false,"https://hh.ru/vacancy/50072394"
"54204485","2022-04-01T19:59:43+0300","Research scientist",false,"https://hh.ru/vacancy/54204485"
"54204573","2022-04-01T19:59:43+0300","Data scientist (ML&DL)",false,"https://hh.ru/vacancy/54204573"
"52174179","2022-04-01T22:09:15+0300","DeFi Data Engineer (Python)",false,"https://hh.ru/vacancy/52174179"
"54346657","2022-04-02T04:16:28+0300","Senior Python Developer - AI/ML Infrastructure (to Canada/Serbia)",false,"https://hh.ru/vacancy/54346657"
"54346658","2022-04-02T04:16:28+0300","Senior Python Developer - AI/ML Infrastructure (to Canada/Serbia)",false,"https://hh.ru/vacancy/54346658"
"54346665","2022-04-02T04:21:28+0300","Python Developer 3 - ML Infra (to Canada/Serbia)",false,"https://hh.ru/vacancy/54346665"
"54346666","2022-04-02T04:21:28+0300","Python Developer 3 - ML Infra (to Canada/Serbia)",false,"https://hh.ru/vacancy/54346666"
