('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         628026 function calls (605749 primitive calls) in 1.123 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      285    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
5222/5221    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      270    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    270/3    0.001    0.000    0.338    0.113 <frozen importlib._bootstrap>:663(_load_unlocked)
      158    0.001    0.000    0.551    0.003 http11.py:166(_receive_event)
     1222    0.001    0.000    0.012    0.000 __init__.py:729(handle_endtag)
     5783    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       54    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     1093    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
     3330    0.001    0.000    0.002    0.000 typing.py:595(_is_dunder)
       25    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
      124    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
     4258    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1003    0.001    0.000    0.002    0.000 sre_parse.py:408(_uniq)
    294/3    0.001    0.000    0.339    0.113 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       40    0.001    0.000    0.001    0.000 typing.py:535(__init__)
      192    0.001    0.000    0.141    0.001 sre_compile.py:759(compile)
     1222    0.001    0.000    0.013    0.000 _htmlparser.py:171(handle_endtag)
        2    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
     3249    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      442    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     6650    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      442    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
  303/302    0.001    0.000    0.003    0.000 _readers.py:137(__call__)
      192    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
3876/2797    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     2597    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1161    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
     8064    0.001    0.000    0.001    0.000 element.py:1499(__bool__)
      462    0.001    0.000    0.001    0.000 contextlib.py:81(__init__)
      361    0.001    0.000    0.002    0.000 enum.py:71(__setitem__)
      161    0.001    0.000    0.001    0.000 _events.py:31(__init__)
     3988    0.001    0.000    0.001    0.000 element.py:1882(descendants)
      494    0.001    0.000    0.001    0.000 enum.py:381(__setattr__)
     1718    0.001    0.000    0.002    0.000 element.py:2023(_normalize_search_value)
     1486    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     8479    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6174    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    52/14    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
      412    0.001    0.000    0.002    0.000 __init__.py:589(object_was_parsed)
     1222    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
      798    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
      304    0.001    0.000    0.006    0.000 _connection.py:382(next_event)
     1003    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      365    0.001    0.000    0.003    0.000 sre_compile.py:411(_mk_bitmap)
    242/3    0.001    0.000    0.338    0.113 <frozen importlib._bootstrap_external>:722(exec_module)
      267    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     2979    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     2979    0.001    0.000    0.001    0.000 abc.py:137(__instancecheck__)
  185/135    0.001    0.000    0.007    0.000 typing.py:340(__getitem__)
     1114    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      461    0.001    0.000    0.001    0.000 contextlib.py:116(__exit__)
      242    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      192    0.001    0.000    0.086    0.000 sre_parse.py:913(parse)
      146    0.001    0.000    0.541    0.004 sync.py:22(read)
       17    0.001    0.000    0.429    0.025 __init__.py:1(<module>)
      412    0.001    0.000    0.002    0.000 element.py:932(__new__)
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      161    0.001    0.000    0.002    0.000 _connection.py:230(_process_event)
        4    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     3970    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1207    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      192    0.001    0.000    0.001    0.000 enum.py:841(__and__)
      503    0.001    0.000    0.001    0.000 {built-in method builtins.any}
     2528    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     1223    0.001    0.000    0.001    0.000 __init__.py:195(can_be_empty_element)
      304    0.001    0.000    0.004    0.000 _connection.py:356(_extract_next_receive_event)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
  801/556    0.000    0.000    0.168    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      598    0.000    0.000    0.005    0.000 enum.py:289(__call__)
  270/269    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      444    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      131    0.000    0.000    0.003    0.000 typing.py:180(_subs_tvars)
     1813    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      421    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      280    0.000    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      462    0.000    0.000    0.001    0.000 contextlib.py:107(__enter__)
       23    0.000    0.000    0.001    0.000 enum.py:182(<setcomp>)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1196    0.000    0.000    0.001    0.000 typing.py:322(__hash__)
        5    0.000    0.000    0.120    0.024 {method 'join' of 'bytes' objects}
      688    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     2396    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      135    0.000    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
      131    0.000    0.000    0.005    0.000 typing.py:626(__getitem__)
     1155    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      200    0.000    0.000    0.001    0.000 typing_extensions.py:130(_collect_type_vars)
      157    0.000    0.000    0.114    0.001 http11.py:155(_receive_response_body)
